Location,University,QS Rank,Program,Qualification
HK,The University of Hong Kong,11,Bachelor of Social Sciences (Government and Laws) and Bachelor of Laws,LLB
HK,The University of Hong Kong,11,Bachelor of Science and Bachelor of Laws,LLB
HK,The University of Hong Kong,11,Bachelor of Psychology,BSc
HK,The University of Hong Kong,11,Bachelor of Science,BSc
HK,The University of Hong Kong,11,Bachelor of Social Sciences,BSoSc
US,University of California, Berkeley (UCB),17,Spieker Undergraduate Business Program B.S.,
Alternative: Intending a major in Social Sciences division",
CA,University of Toronto,29,life sciences,
CA,University of Toronto,29,chemical and physical sciences,
UK,King's College London,31,Philosophy, Politics and Economics (L0V0),BA
UK,King's College London,31,Neuroscience (B140),BSc
UK,King's College London,31,Law (M100),LLB
UK,King's College London,31,Digital Media and Culture (P390),BA
UK,King's College London,31,Nursing with Registration as an Adult Nurse (B740),BSc
UK,King's College London,31,Law (M100),LLB
UK,King's College London,31,Physiotherapy (B160),BSc
UK,King's College London,31,Biochemistry (C700),BSc
UK,King's College London,31,Mathematics (G100),BSc
UK,King's College London,31,Artificial Intelligence (G700),BSc
UK,King's College London,31,Biomedical Science (BC99),BSc
UK,King's College London,31,Biomedical Engineering (H160),BEng
UK,King's College London,31,Physiotherapy (B160),BSc
UK,King's College London,31,Business Management with Year in Industry (N201),BSc
UK,King's College London,31,Biomedical Science (BC99),BSc
UK,King's College London,31,Medicine (A100),MBBS
UK,King's College London,31,Psychology (C800),BSc
UK,King's College London,31,Medicine (A100),MBBS
UK,King's College London,31,Biomedical Science (BC99),BSc
HK,The Chinese University of Hong Kong (CUHK),32,Risk Management Science,BSc
HK,The Chinese University of Hong Kong (CUHK),32,Computer Science and Engineering,BEng
HK,The Chinese University of Hong Kong (CUHK),32,Computational Data Science,BSc
HK,The Chinese University of Hong Kong (CUHK),32,Bachelor of Law,LLB
HK,The Chinese University of Hong Kong (CUHK),32,Integrated BBA Program and Juris Doctor,BBA-JD
HK,The Chinese University of Hong Kong (CUHK),32,Global Studies,BA
HK,The Chinese University of Hong Kong (CUHK),32,Journalism and communication,BA
HK,The Chinese University of Hong Kong (CUHK),32,BBA,BBA
HK,The Chinese University of Hong Kong (CUHK),32,Global Communication,BA
HK,The Chinese University of Hong Kong (CUHK),32,Integrated Bachelor of Business Administration,BBA
HK,The Chinese University of Hong Kong (CUHK),32,Psychology,BSc
HK,The Chinese University of Hong Kong (CUHK),32,Journalism and Communication,BA
HK,The Chinese University of Hong Kong (CUHK),32,Journalism and Communication,BComm
HK,The Chinese University of Hong Kong (CUHK),32,Pharmacy,BPharm
HK,The Chinese University of Hong Kong (CUHK),32,Biomedical Sciences,BSc
HK,The Chinese University of Hong Kong (CUHK),32,Science,BSc
HK,The Chinese University of Hong Kong (CUHK),32,Global Economics and Finance,BSc
HK,The Chinese University of Hong Kong (CUHK),32,Insurance, Financial and Actuarial Analysis,BSc
HK,The Chinese University of Hong Kong (CUHK),32,Professional Accountancy,BBA
HK,The Chinese University of Hong Kong (CUHK),32,Nursing,BNurs
HK,The Chinese University of Hong Kong (CUHK),32,Public Health,BSc
HK,The Chinese University of Hong Kong (CUHK),32,Science,BSc
HK,The Chinese University of Hong Kong (CUHK),32,Bachelor of Laws,LLB
HK,The Chinese University of Hong Kong (CUHK),32,Integrated BBA Programme and Juris Doctor,BBA & Juri
HK,The Chinese University of Hong Kong (CUHK),32,Physical Education, Exercise Science and Health,BEd
HK,The Chinese University of Hong Kong (CUHK),32,Psychology,BSSc
HK,The Chinese University of Hong Kong (CUHK),32,Human Movement Science and Health Studies,
HK,The Chinese University of Hong Kong (CUHK),32,Computer Science and Engineering,BEng
HK,The Chinese University of Hong Kong (CUHK),32,Mathematics and Mathematics Education,BSc/BEd
HK,The Chinese University of Hong Kong (CUHK),32,Mechanical and Automation Engineering,BEng
HK,The Chinese University of Hong Kong (CUHK),32,Biomedical Sciences,BSc
HK,The Chinese University of Hong Kong (CUHK),32,Science,BSc
HK,The Chinese University of Hong Kong (CUHK),32,Pharmacy,BPharm
HK,The Chinese University of Hong Kong (CUHK),32,Integrated Bachelor of Business Administration,BBA
HK,The Chinese University of Hong Kong (CUHK),32,Economics,BSc
HK,The Chinese University of Hong Kong (CUHK),32,Enrichment Mathematics,BSc
HK,The Chinese University of Hong Kong (CUHK),32,Science,BSc
